id,is_a
2345,13522
2346,4121
2347,15008
2348,481
2349,18260
2350,10131
2351,10131
2352,10131
2353,18649
2354,18649
2355,475
2356,9569
2357,42
2358,42
2359,5181
2360,4121
2361,391
2362,391
2363,2360
2364,94
2365,2530
2366,10186
2367,10147
2368,2530
2369,15212
2370,5058
2371,479
2372,1962
2373,2372
2374,15042
2375,1739
2376,10959
2377,10959
2378,5172
2379,1325
2380,10313
2381,1495
2382,2461
2383,34908
2384,479
2385,4120
2386,8785
2387,8784
2389,2544
2390,4120
2391,179
2392,58
2393,62
2394,4119
2395,11679
2396,12071
2397,15212
2398,8785
2399,9870
2400,4923
2401,22350
2402,35809
2403,1111
2404,2426
2405,15203
2406,5906
2407,481
2408,22351
2409,36217
2410,11216
2411,5156
2412,10913
2413,15007
2414,15009
2415,11676
2416,467
2417,11676
2418,4755
2419,6003
2420,7245
2421,2616
2422,4086
2423,11216
2424,6915
2425,22350
2426,5175
2427,3531
2428,15061
2429,29
2430,2616
2432,5156
2433,5156
2434,5156
2435,11300
2436,8440011
2437,11299
2438,9661
2439,429
2440,1991
2441,1991
2442,2464
2443,3496
2444,34944
2445,1480
2446,11141
2447,1830
2448,14389
2450,478
2451,5398
2453,1825
2454,1637
2455,6138
2456,4573
2457,14907
2458,4573
2459,14769
2460,1638
2461,2378
2462,4518
2463,4252
2464,122
2465,467
2466,456
2467,1726
2468,14389
2469,344
2470,2529
2471,2529
2472,2529
2473,19294
2474,2616
2475,3431
2476,5401
2477,5401
2478,15212
2479,15233
2480,15233
2481,4755
2482,2481
2483,2481
2484,2553
2485,5904
2486,61
2487,2558
2488,1444
2489,3685
2490,3685
2491,3685
2492,3685
2493,15212
2494,64
2495,1474
2496,5913
2497,4530
2498,4100000
2499,64
2500,15212
2501,36253
2502,36253
2503,980
2504,980
2505,3496
2506,15808
2507,5172
2508,15860
2509,15860
2510,2221
2511,440
2512,5398
2513,10363
2514,1474
2515,158
2516,1994
2517,75
2518,6585
2519,5764
2520,3968
2521,2384
2522,4797
2523,4923
2524,7644
2525,29
2526,2507
2527,2507
2528,8470001
2529,10538
2530,62
2531,4357
2532,2050
2533,2050
2534,8897
2535,62
2536,20
2537,991
2538,2530
2539,10314
2540,1032
2541,2050
2542,3102
2544,5881
2546,5085
2547,2548
2548,468
2549,7702
2550,2616
2551,9661
2552,7702
2553,464
2555,2616
2556,7702
2557,9661
2558,2553
2559,19263
2560,2616
2561,2558
2562,13118
2563,11214
2564,7193
2565,14450
2566,13118
2567,2616
2568,35939
2569,14687
2570,7193
2571,11214
2572,14450
2573,19263
2575,7193
2576,9899
2577,11214
2578,14450
2580,11215
2581,200
2582,13118
2583,5970
2585,7702
2586,13118
2587,2308
2588,7418
2589,7702
2590,2616
2591,19263
2592,14649
2593,2616
2594,7702
2595,8334
2596,15233
2597,9662
2598,13118
2599,200
2600,16526
2601,200
2602,4073
2603,2665
2604,9662
2605,2616
2606,11215
2607,13118
2608,19269
2609,7702
2610,19263
2612,2595
2613,4073
2614,19269
2615,7418
2616,73
2617,19269
2618,6843
2620,2616
2622,7251
2623,16554
2624,15593
2625,7251
2626,11300
2627,3931
2628,11300
2629,64
2630,11300
2631,16554
2632,19269
2633,9662
2634,7251
2636,15233
2637,15233
2638,15233
2639,19267
2640,7702
2641,15233
2642,7702
2643,7418
2644,7193
2645,19269
2646,5838
2647,19269
2648,5156
2649,7702
2650,19269
2651,2285
2652,5156
2653,5838
2654,19269
2655,2285
2656,11300
2657,200
2658,3001
2659,19291
2660,2309
2661,15593
2662,16554
2663,7245
2664,19269
2665,200
2666,7702
2667,9663
2668,6843
2669,14639
2670,14639
2671,7702
2672,14639
2673,19263
2675,14639
2676,11590
2679,15233
2681,15233
2682,9662
2683,13118
2684,7635
2685,15233
2686,200
2687,19269
2688,200
2689,10135
2690,6568
2691,2616
2692,19263
2693,8334
2694,11590
2695,8334
2696,7415
2697,11590
2698,464
2699,11591
2700,7415
2701,9661
2702,15593
2703,15593
2704,15233
2705,15233
2706,6568
2707,1018
2708,6568
2709,19269
2710,8334
2711,9661
2712,6568
2713,2912
2714,7702
2715,14761
2716,8334
2717,9661
2718,7702
2719,7702
2720,22235
2721,8334
2722,9661
2723,11591
2724,200
2726,5844
2727,14532
2728,64
2729,5401
2731,6843
2732,7702
2733,15233
2734,14687
2735,7702
2736,15233
2737,8334
2738,64
2739,15233
2740,200
2741,11215
2742,22303
2743,2616
2744,8332
2745,7702
2746,6568
2747,19263
2748,3001
2749,2616
2750,2309
2751,200
2752,7702
2753,1018
2754,5838
2755,7418
2756,200
2758,15233
2759,15233
2760,1018
2761,13118
2762,14533
2763,14532
2764,14639
2765,14532
2766,200
2767,13118
2768,7702
2769,200
2770,2616
2771,200
2772,13118
2773,3939
2774,3939
2775,7702
2776,15233
2778,6514
2779,7247
2781,19269
2782,7247
2783,7702
2786,6843
2787,7418
2788,15233
2790,19293
2792,5844
2793,5838
2794,2309
2795,9899
2796,4673
2797,7702
2798,7702
2799,14639
2800,14761
2801,3931
2802,1872
2803,1872
2804,2600
2805,2600
2806,2021
2807,2021
2808,1871
2809,1871
2810,1870
2811,1870
2812,1869
2813,1869
2814,14466
2815,14466
2816,14466
2817,14466
2818,14466
2819,5913
2820,36250
2822,64
2823,466
2824,1800
2825,64
2826,64
2827,10313
2828,1720
2829,1720
2830,1720
2831,1720
2832,7633
2833,7633
2834,44
2835,44
2836,44
2837,44
2838,2834
2839,2834
2840,2834
2841,2834
2842,2834
2843,2834
2844,2834
2845,2835
2846,2835
2847,2835
2848,2835
2849,2835
2850,2835
2851,2835
2852,2835
2853,2835
2854,2835
2855,2835
2856,2836
2857,2836
2858,2836
2859,2836
2860,2837
2861,2837
2862,2837
2863,2837
2864,7635
2865,7635
2866,19263
2867,35011
2868,11775
2869,7634
2870,11778
2871,7635
2872,7635
2873,19263
2874,7635
2875,7635
2876,7635
2877,7635
2879,7635
2880,7635
2881,7635
2882,7635
2883,9663
2884,9663
2885,9663
2886,9663
2887,9663
2888,5401
2889,5401
2890,5401
2891,9663
2892,9663
2893,9663
2894,2616
2895,2616
2896,14466
2897,4050
2898,4050
2899,8334
2900,19303
2901,19303
2902,9899
2903,19303
2904,13118
2905,19303
2906,19303
2907,13118
2908,13118
2909,13118
2910,8334
2911,2616
2912,8334
2913,35927
2914,8334
2915,35927
2916,13118
2918,7634
2919,8334
2920,8334
2921,14466
2922,2616
2923,8334
2924,1785
2925,126
2926,6934
2928,2304
2929,2304
2930,7702
2931,9663
2932,19293
2933,9663
2934,9661
2935,19269
2936,19267
2937,19269
2938,19267
2939,15233
2940,2437
2941,16554
2942,15233
2943,14640
2944,7702
2945,15233
2947,2616
2948,14640
2949,7702
2952,19293
2953,3001
2954,2616
2955,15233
2956,4130
2957,9661
2958,3001
2959,15233
2960,9661
2961,14734
2962,11145
2963,7413
2964,9661
2965,15233
2967,200
2968,35011
2969,14687
2970,9661
2971,7247
2972,15233
2973,200
2974,4130
2975,9661
2976,7247
2977,9663
2978,19269
2979,4130
2980,64
2981,15233
2982,15233
2983,15233
2984,15233
2985,15233
2987,7702
2988,1503
2989,4255
2990,11591
2991,11590
2992,15233
2993,7413
2995,2616
2996,14450
2997,2308
2998,15593
2999,7413
3001,11215
3002,3001
3004,7415
3005,5838
3006,6840
3007,7634
3008,5838
3009,7418
3010,3001
3011,127
3012,5293
3013,4003
3015,4003
3016,11591
3017,9663
3018,19269
3019,19269
3020,11300
3021,4070
3023,64
3024,19269
3025,11215
3026,2308
3027,2616
3028,5970
3029,16555
3030,15233
3031,3030
3033,2308
3034,15233
3036,15233
3037,61
3038,5844
3039,19294
3040,35011
3041,6134
3043,19294
3044,5838
3045,5838
3046,19293
3049,1002
3050,9955
3051,7499
3052,7651
3053,477
3054,5291
3055,3000961
3056,5291
3057,2050
3058,479
3059,6598
3060,12275
3061,6598
3062,10188
3063,2050
